,precision,recall,f1-score,support
Category_0,0.9047619047619048,0.6909090909090909,0.7835051546391754,55.0
Category_1,0.45161290322580644,0.6222222222222222,0.5233644859813085,45.0
Category_2,0.4642857142857143,0.5777777777777777,0.5148514851485149,45.0
Category_3,0.6666666666666666,0.5238095238095238,0.5866666666666667,42.0
Category_4,0.7962962962962963,0.9555555555555556,0.8686868686868687,45.0
Category_5,0.9555555555555556,0.86,0.9052631578947369,50.0
Category_6,0.9069767441860465,0.975,0.9397590361445783,40.0
Category_7,0.7073170731707317,0.58,0.6373626373626374,50.0
Category_8,0.48717948717948717,0.38,0.4269662921348315,50.0
Category_9,0.36486486486486486,0.54,0.43548387096774194,50.0
Category_10,0.9714285714285714,0.85,0.9066666666666667,40.0
Category_11,0.7090909090909091,0.78,0.7428571428571428,50.0
Category_12,0.9130434782608695,0.7636363636363637,0.8316831683168316,55.0
Category_13,0.4634146341463415,0.31666666666666665,0.3762376237623763,60.0
Category_14,0.5483870967741935,0.425,0.47887323943661964,40.0
Category_15,0.8076923076923077,0.9333333333333333,0.8659793814432989,45.0
Category_16,0.7111111111111111,0.8,0.7529411764705882,40.0
Category_17,0.7948717948717948,0.5166666666666667,0.6262626262626263,60.0
Category_18,0.8076923076923077,0.84,0.8235294117647058,50.0
Category_19,0.7678571428571429,0.7166666666666667,0.7413793103448276,60.0
Category_20,0.6521739130434783,0.375,0.4761904761904762,40.0
Category_21,0.6666666666666666,0.7555555555555555,0.7083333333333334,45.0
Category_22,0.7719298245614035,0.7333333333333333,0.7521367521367521,60.0
Category_23,0.47058823529411764,0.2,0.2807017543859649,40.0
Category_24,0.7962962962962963,0.9555555555555556,0.8686868686868687,45.0
Category_25,0.7884615384615384,0.6833333333333333,0.7321428571428571,60.0
Category_26,0.6818181818181818,0.9,0.7758620689655172,50.0
Category_27,1.0,1.0,1.0,40.0
Category_28,0.8064516129032258,0.625,0.7042253521126761,40.0
Category_29,1.0,0.9767441860465116,0.988235294117647,43.0
Category_30,0.7692307692307693,0.8333333333333334,0.8,60.0
Category_31,0.6,0.78,0.6782608695652174,50.0
Category_32,0.6857142857142857,0.96,0.7999999999999999,50.0
Category_33,1.0,0.9,0.9473684210526316,40.0
Category_34,0.38095238095238093,0.2909090909090909,0.32989690721649484,55.0
Category_35,0.7123287671232876,0.8813559322033898,0.7878787878787878,59.0
Category_36,0.42696629213483145,0.6909090909090909,0.5277777777777778,55.0
Category_37,0.8888888888888888,0.7441860465116279,0.8101265822784809,43.0
Category_38,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Category_39,1.0,1.0,1.0,60.0
Category_40,0.8095238095238095,0.9272727272727272,0.864406779661017,55.0
Category_41,0.9148936170212766,0.9555555555555556,0.9347826086956522,45.0
Category_42,0.6388888888888888,0.575,0.6052631578947367,40.0
Category_43,0.6363636363636364,0.8166666666666667,0.7153284671532846,60.0
Category_44,0.0,0.0,0.0,60.0
Category_45,0.7962962962962963,0.7818181818181819,0.7889908256880734,55.0
Category_46,0.8333333333333334,0.9090909090909091,0.8695652173913043,55.0
Category_47,0.618421052631579,0.8545454545454545,0.7175572519083969,55.0
Category_48,1.0,1.0,1.0,39.0
Category_49,0.71875,0.7666666666666667,0.7419354838709677,60.0
accuracy,0.7261712439418416,0.7261712439418416,0.7261712439418416,0.7261712439418416
macro avg,0.7248564525808915,0.7299370652865724,0.7190350215167087,2476.0
weighted avg,0.7181276863136418,0.7261712439418416,0.7138875348069424,2476.0
